fy,date,previous_low,previous_high,new_low,new_high,midpoint,delta,change,reason,url
"2018","2018-01-31","","","14","15","14.5","","首次","初始数值；此前仅表示大约翻倍","https://investor.atmeta.com/files/doc_financials/2017/Q4/Earnings-call-prepared-remarks.pdf"
"2018","2018-04-25","14","15","15","15","15","0.5","上调","达到原区间高端；支持业务所需基础设施","https://s21.q4cdn.com/399680738/files/doc_financials/2018/Q1/Q1-18-Earnings-call-transcript.pdf"
"2018","2018-07-25","15","15","15","15","15","0","维持","维持约150亿美元","https://investor.atmeta.com/files/doc_financials/2018/Q2/Earnings-call-prepared-remarks.pdf"
"2018","2018-10-30","15","15","14","14.5","14.25","-0.75","下调","下修原因未单独明确","https://investor.atmeta.com/files/doc_financials/2018/Q3/Earnings-call-prepared-remarks.pdf"
"2019","2018-10-30","","","18","20","19","","首次","提前建设容量","https://investor.atmeta.com/files/doc_financials/2018/Q3/Earnings-call-prepared-remarks.pdf"
"2019","2019-01-30","18","20","18","20","19","0","维持","维持；原PDF首页年份笔误以IR日期为准","https://investor.atmeta.com/files/doc_financials/2018/Q4/Earnings-call-prepared-remarks.pdf"
"2019","2019-04-24","18","20","17","19","18","-1","下调","同日问答说明为工程付款时点可见性","https://investor.atmeta.com/files/doc_financials/2019/Q1/Earnings-call-prepared-remarks.pdf"
"2019","2019-07-24","17","19","16","18","17","-1","下调","本次原因未单独明确","https://s21.q4cdn.com/399680738/files/doc_financials/2019/Q2/Q2%2719-Earnings-Call-Transcript.pdf"
"2019","2019-10-30","16","18","16","16","16","-1","下调","本次原因未单独明确；约160亿美元","https://s21.q4cdn.com/399680738/files/doc_financials/2019/q3/Q3-2019-FB-Earnings-Transcript.pdf"
"2020","2019-10-30","","","17","19","18","","首次","初始指引仍高于上年","https://s21.q4cdn.com/399680738/files/doc_financials/2019/q3/Q3-2019-FB-Earnings-Transcript.pdf"
"2020","2020-01-29","17","19","17","19","18","0","维持","维持","https://s21.q4cdn.com/399680738/files/doc_financials/2019/q4/Q4%2719-FB-Earnings-Call-Transcript.pdf"
"2020","2020-04-29","17","19","14","16","15","-3","下调","疫情停工：延期至2021，不是节省","https://investor.atmeta.com/investor-news/press-release-details/2020/Facebook-Reports-First-Quarter-2020-Results/default.aspx"
"2020","2020-07-30","14","16","16","16","16","1","上调","建设恢复早于预期","https://investor.atmeta.com/investor-news/press-release-details/2020/Facebook-Reports-Second-Quarter-2020-Results/default.aspx"
"2020","2020-10-29","16","16","16","16","16","0","维持","维持","https://investor.atmeta.com/investor-news/press-release-details/2020/Facebook-Reports-Third-Quarter-2020-Results/default.aspx"
"2021","2020-10-29","","","21","23","22","","首次","增长并承接疫情后移支出","https://investor.atmeta.com/investor-news/press-release-details/2020/Facebook-Reports-Third-Quarter-2020-Results/default.aspx"
"2021","2021-01-27","21","23","21","23","22","0","维持","维持","https://investor.atmeta.com/investor-news/press-release-details/2021/Facebook-Reports-Fourth-Quarter-and-Full-Year-2020-Results/default.aspx"
